gene_family,total_genomes,diazotroph_count,diazotroph_pct,is_pure
GF_00487,54,53,0.9814814814814815,True
GF_00488,48,46,0.9583333333333334,True
GF_00489,50,49,0.98,True
GF_00490,56,48,0.8571428571428571,False
GF_00491,82,80,0.975609756097561,True
GF_00492,89,85,0.9550561797752809,True
GF_00493,41,40,0.975609756097561,True
GF_00494,77,65,0.8441558441558441,False
GF_00495,44,43,0.9772727272727273,True
GF_00496,48,47,0.9791666666666666,True
GF_00497,54,53,0.9814814814814815,True
GF_00498,56,32,0.5714285714285714,False
GF_00499,44,43,0.9772727272727273,True
GF_00500,40,40,1.0,True
GF_00501,66,64,0.9696969696969697,True
GF_00502,47,46,0.9787234042553191,True
GF_00503,68,66,0.9705882352941176,True
GF_00504,48,47,0.9791666666666666,True
GF_00505,48,36,0.75,False
GF_00506,48,24,0.5,False
GF_00507,56,11,0.19642857142857142,False
GF_00508,206,58,0.2815533980582524,False
GF_00509,54,16,0.2962962962962963,False
GF_00510,42,41,0.9761904761904762,True
GF_00511,40,39,0.975,True
GF_00512,50,49,0.98,True
GF_00513,56,55,0.9821428571428571,True
GF_00514,65,63,0.9692307692307692,True
GF_00515,59,58,0.9830508474576272,True
GF_00516,43,42,0.9767441860465116,True
GF_00517,82,78,0.9512195121951219,True
GF_00518,86,82,0.9534883720930233,True
GF_00519,64,62,0.96875,True
GF_00520,89,84,0.9438202247191011,True
GF_00521,41,40,0.975609756097561,True
GF_00522,49,48,0.9795918367346939,True
GF_00523,79,77,0.9746835443037974,True
GF_00524,58,53,0.9137931034482759,True
GF_00525,41,37,0.9024390243902439,True
GF_00526,51,51,1.0,True
GF_00527,60,59,0.9833333333333333,True
GF_00528,87,82,0.9425287356321839,True
GF_00529,55,54,0.9818181818181818,True
GF_00530,48,47,0.9791666666666666,True
GF_00531,73,71,0.9726027397260274,True
GF_00532,45,44,0.9777777777777777,True
GF_00533,159,68,0.4276729559748428,False
GF_00534,56,55,0.9821428571428571,True
GF_00535,88,84,0.9545454545454546,True
GF_00536,56,55,0.9821428571428571,True
GF_00537,40,39,0.975,True
GF_00538,65,64,0.9846153846153847,True
GF_00539,84,82,0.9761904761904762,True
GF_00540,44,44,1.0,True
GF_00541,84,82,0.9761904761904762,True
GF_00542,99,69,0.696969696969697,False
GF_00543,50,49,0.98,True
GF_00544,44,43,0.9772727272727273,True
GF_00545,86,82,0.9534883720930233,True
GF_00546,42,41,0.9761904761904762,True
GF_00547,41,41,1.0,True
GF_00548,48,47,0.9791666666666666,True
GF_00549,47,47,1.0,True
GF_00550,68,66,0.9705882352941176,True
GF_00551,86,82,0.9534883720930233,True
GF_00552,79,75,0.9493670886075949,True
GF_00553,59,57,0.9661016949152542,True
